@relation pan_features_trainset_dec31_withoutid

@attribute TSDiff numeric
@attribute dsr numeric
@attribute ddsr numeric
@attribute rep numeric
@attribute insertedTokens numeric
@attribute deletedTokens numeric
@attribute deleterTokens numeric
@attribute insPageCount numeric
@attribute delPageCount numeric
@attribute insRevisionCount numeric
@attribute delRevisionCount numeric
@attribute userType {0,1,2,3,4,5}
@attribute userPageStatus {-1,1,0}
@attribute comment_feature1 {0,1}
@attribute comment_feature2 {0,1}
@attribute comment_feature3 {0,1}
@attribute comment_feature4 {0,1}
@attribute comment_feature5 {0,1}
@attribute RevOrdinal numeric
@attribute CommentLength numeric
@attribute InsertSize numeric
@attribute DeleteSize numeric
@attribute SizeRatio numeric
@attribute KLDNew2OLD numeric
@attribute HasBecomeBlank {0,1}
@attribute HasInsInternalLink {0,1}
@attribute HasInsExternalLink {0,1}
@attribute Reverted {0,1}
@attribute KLDINSOld numeric
@attribute LongestInsertedWord numeric
@attribute LongestInsertedCharacterSequence numeric
@attribute InsCompressibiity numeric
@attribute InsUpperToLowerRatio numeric
@attribute InsUpperToAllRatio numeric
@attribute InsDigitRatio numeric
@attribute InsNonAlphabeticRatio numeric
@attribute InsCharacterDiversity numeric
@attribute InsAvgTermFrequency numeric
@attribute InsVulgarRatio numeric
@attribute InsBiasRatio numeric
@attribute InsSexRatio numeric
@attribute InsBadRatio numeric
@attribute InsPronounRatio numeric
@attribute InsGoodRatio numeric
@attribute InsAllSpecialRatio numeric
@attribute KLDDELOLD numeric
@attribute DelVulgarRatio numeric
@attribute DelBiasRatio numeric
@attribute DelSexRatio numeric
@attribute DelBadRatio numeric
@attribute DelPronounRatio numeric
@attribute DelGoodRatio numeric
@attribute DelAllSpecialRatio numeric
@attribute LongestCommentCharacterSequence numeric
@attribute CommentUpperToLowerRatio numeric
@attribute CommentUpperToAllRatio numeric
@attribute CommentDigitRatio numeric
@attribute CommentNonAlphabeticRatio numeric
@attribute CommentCharacterDiversity numeric
@attribute CommentVulgarRatio numeric
@attribute CommentBiasRatio numeric
@attribute CommentSexRatio numeric
@attribute CommentBadRatio numeric
@attribute CommentPronounRatio numeric
@attribute CommentGoodRatio numeric
@attribute CommentAllSpecialRatio numeric
@attribute label {0,1}

@data
1,?,?,?,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,4,0,0,1,0,0,0,0,0,1280.448831,0,1,0,1,1,1,0.038849,1,1,0,0,0,0,0,0,0,1280.448831,0,0,0,0,0,0,0,0,0.173913,0.461538,0.192308,0.038462,0.055556,0,0,0,0,0,0,0,0
13724,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,0,4,0.994469,11.397574,0,1,0,0,1476.512221,0,1,0,1,1,1,0.073693,1,1,0,0,0,0,0,0,0,1470.123659,0,0,0,0,0,0,0,0,0.202899,0.378049,0.012195,0.012195,0.037037,0,0,0,0,0,0,0,0
48,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1329,14,1,0,1.000078,0.000001,0,0,0,0,14877.49322,3,1,1,0.5,0.6,0.2,0.104891,0.2,1.5,0,0,0,0,0,0,0,14877.49322,0,0,0,0,0,0,0,0,0.170732,0.389474,0.105263,0.010526,0.030303,0,0,0,0,0,0,0,0
1,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1.000874,0,0,0,0,0,1764.603421,0,1,0,1,1,1,0.115746,1,1,0,0,0,0,0,0,0,1764.603421,0,0,0,0,0,0,0,0,0.222222,0.3,0.1,0.1,0.1,0,0,0,0,0,0,0,0
1,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,2,1,1.0016,-0.029734,0,0,0,0,662.464741,3,1,1,0.285714,0.5,0.125,0.041534,0.142857,2.333333,0,0,0,0,0,0,0,664.730443,0,0,0,0,0,0,0,0,0.006897,0.206897,0.034483,0.006897,0.035714,0,0,0,0,0,0,0,0
231766,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,252,0,1.908801,-1.999824,0,0,0,0,542.459964,14,2,0.501792,0.013053,0.196275,0.003582,0.061477,0.026316,252.006757,0,0,0,0,0,0,0,678.400315,0,0,0,0,0,0,0,0,0.181818,0.25,0.083333,0.083333,0.111111,0,0,0,0,0,0,0,0
1873,?,?,?,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6537,19,0,302,0.977101,566.552395,0,0,0,0,34563.57369,0,1,0,1,1,1,0.064162,1,1,0,0,0,0,0,0,0,33221.11162,0,0,0,0,0,0,0,0,0.02439,0.176,0.008,0.008,0.04,0,0,0,0,0,0,0,0
1309,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,5,0,1.01804,-0.026857,0,1,0,0,799.414508,9,1,1,0.35,0.538462,0.115385,0.094507,0.052632,5.166667,0,0,0,0,0,0,0,813.292894,0,0,0,0,0,0,0,0,0.1,0.238095,0.047619,0.047619,0.076923,0,0,0,0,0,0,0,0
440,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3194,2,0,11,0.998512,0.000409,0,1,0,0,17730.59085,0,1,0,1,1,1,0.100914,1,1,0,0,0,0,0,0,0,17671.61014,0,0,0,0,0,0,0,0,0.125,0.235294,0.058824,0.058824,0.083333,0,0,0,0,0,0,0,0
2885,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,4,0,0,1.000158,0,0,0,0,0,3371.332669,0,1,0,1,1,1,0.069053,1,1,0,0,0,0,0,0,0,3371.332669,0,0,0,0,0,0,0,0,0.055556,0.162162,0.027027,0.027027,0.055556,0,0,0,0,0,0,0,0
158,?,?,?,0,0,3,0,1,0,1,0,0,0,0,0,0,0,3501,4,0,3,0.999826,18.682387,0,1,0,0,31564.296,0,1,0,1,1,1,0.071415,1,1,0,0,0,0,0,0,0,31548.19348,0,0,0,0,0,0,0,0,0.086957,0.25,0.041667,0.041667,0.058824,0,0,0,0,0,0,0,0
6,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,1,0,5,0.990956,24.310676,0,0,0,0,1386.197246,0,1,0,1,1,1,0.097962,1,1,0,0,0,0,0,0,0,1362.722042,0,0,0,0,0,0,0,0,0.4,0.5,0.166667,0.166667,0.166667,0,0,0,0,0,0,0,0
3808,?,?,?,0,0,1,0,1,0,1,0,0,0,0,0,0,0,99,4,0,1,0.9982,6.805724,0,0,0,0,2740.40501,0,1,0,1,1,1,0.074906,1,1,0,0,0,0,0,0,0,2740.40501,0,0,0,0,0,0,0,0,0.045455,0.227273,0.045455,0.045455,0.076923,0,0,0,0,0,0,0,0
1239,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,1,0,0,1.000312,0,0,1,0,0,1454.795173,0,1,0,1,1,1,0.1029,1,1,0,0,0,0,0,0,0,1454.795173,0,0,0,0,0,0,0,0,0.222222,0.3,0.1,0.1,0.1,0,0,0,0,0,0,0,0
0,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,2,1,1,1,0.000039,0,0,0,0,4937.945999,6,4,0.857143,0.125,0.25,0.125,0.125,0.25,1.5,0,0,0,0,0,0,0,4937.945999,0,0,0,0,0,0,0,0,0.214286,0.3125,0.0625,0.0625,0.090909,0,0,0,0,0,0,0,0
792,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,1,1,0,1.000387,-0.004687,0,1,0,0,5032.509427,4,1,1,0.4,0.5,0.166667,0.097834,0.166667,1.5,0,0,0,0,0,0,0,5032.509427,0,0,0,0,0,0,0,0,0.181818,0.25,0.083333,0.083333,0.111111,0,0,0,0,0,0,0,0
5,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,10,19,12,1.007517,6.767908,0,0,0,0,2536.26264,9,2,0.851852,0.111111,0.357798,0.091743,0.093445,0.033333,19.05,0,0,0,0,0,0.05,0.05,2566.226279,0,0,0,0,0,0,0,0,0.066667,0.222222,0.015873,0.015873,0.04,0,0,0,0,0,0,0,0
0,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,2,0,1.004961,0.001238,0,0,0,0,877.491658,5,1,1,0.1,0.3,0.1,0.09819,0.142857,2.333333,0,0,0,0,0,0,0,882.705766,0,0,0,0,0,0,0,0,0.195652,0.296296,0.018519,0.018519,0.045455,0,0,0,0,0,0.1,0.1,0
121917,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,1,2,0.988743,9.994331,0,0,0,0,423.258332,5,1,1,0.333333,0.428571,0.142857,0.039848,0.142857,1.5,0,0,0,0,0,0,0,417.554549,0,0,0,0,0,0,0,0,0.088889,0.229167,0.041667,0.020833,0.045455,0,0,0,0,0,0,0,0
1,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,12,0,4,0.991247,6.312978,0,0,0,0,1704.599531,0,1,0,1,1,1,0.062638,1,1,0,0,0,0,0,0,0,1686.451261,0,0,0,0,0,0,0,0,0.011905,0.154762,0.011905,0.011905,0.043478,0,0,0,0,0,0,0,0
1,?,?,?,0,0,0,0,0,0,0,0,1,0,0,0,0,0,58,2,4,7,0.99101,41.432746,0,0,0,0,1095.241091,8,1,0.96,0.08,0.230769,0.038462,0.088625,0.058824,4.2,0,0,0,0,0,0,0,1064.32814,0,0,0,0,0,0,0,0,0.133333,0.25,0.0625,0.0625,0.076923,0,0,0,0,0,0,0,0
334,?,?,?,0,0,7,0,1,0,1,0,0,0,0,0,0,0,144,2,0,7,0.991056,20.250088,0,0,0,0,2840.261311,0,1,0,1,1,1,0.073759,1,1,0,0,0,0,0,0,0,2807.253001,0,0,0,0,0,0,0,0,0.136364,0.208333,0.041667,0.041667,0.066667,0,0,0,0,0,0,0,0
