@relation pan_features_trainset_dec31_withoutid

@attribute TSDiff numeric
@attribute dsr numeric
@attribute ddsr numeric
@attribute rep numeric
@attribute insertedTokens numeric
@attribute deletedTokens numeric
@attribute deleterTokens numeric
@attribute insPageCount numeric
@attribute delPageCount numeric
@attribute insRevisionCount numeric
@attribute delRevisionCount numeric
@attribute userType {0,1,2,3,4,5}
@attribute userPageStatus {-1,1,0}
@attribute comment_feature1 {0,1}
@attribute comment_feature2 {0,1}
@attribute comment_feature3 {0,1}
@attribute comment_feature4 {0,1}
@attribute comment_feature5 {0,1}
@attribute RevOrdinal numeric
@attribute CommentLength numeric
@attribute InsertSize numeric
@attribute DeleteSize numeric
@attribute SizeRatio numeric
@attribute KLDNew2OLD numeric
@attribute HasBecomeBlank {0,1}
@attribute HasInsInternalLink {0,1}
@attribute HasInsExternalLink {0,1}
@attribute Reverted {0,1}
@attribute KLDINSOld numeric
@attribute LongestInsertedWord numeric
@attribute LongestInsertedCharacterSequence numeric
@attribute InsCompressibiity numeric
@attribute InsUpperToLowerRatio numeric
@attribute InsUpperToAllRatio numeric
@attribute InsDigitRatio numeric
@attribute InsNonAlphabeticRatio numeric
@attribute InsCharacterDiversity numeric
@attribute InsAvgTermFrequency numeric
@attribute InsVulgarRatio numeric
@attribute InsBiasRatio numeric
@attribute InsSexRatio numeric
@attribute InsBadRatio numeric
@attribute InsPronounRatio numeric
@attribute InsGoodRatio numeric
@attribute InsAllSpecialRatio numeric
@attribute KLDDELOLD numeric
@attribute DelVulgarRatio numeric
@attribute DelBiasRatio numeric
@attribute DelSexRatio numeric
@attribute DelBadRatio numeric
@attribute DelPronounRatio numeric
@attribute DelGoodRatio numeric
@attribute DelAllSpecialRatio numeric
@attribute LongestCommentCharacterSequence numeric
@attribute CommentUpperToLowerRatio numeric
@attribute CommentUpperToAllRatio numeric
@attribute CommentDigitRatio numeric
@attribute CommentNonAlphabeticRatio numeric
@attribute CommentCharacterDiversity numeric
@attribute CommentVulgarRatio numeric
@attribute CommentBiasRatio numeric
@attribute CommentSexRatio numeric
@attribute CommentBadRatio numeric
@attribute CommentPronounRatio numeric
@attribute CommentGoodRatio numeric
@attribute CommentAllSpecialRatio numeric
@attribute label {0,1}

@data
260541,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,2,1,1,6.124481,0,0,0,0,1583.671941,5,1,1,0.166667,0.307692,0.076923,0.076923,0.090909,2.333333,0,0,0,0,0,0,0,1584.365088,0,0,0,0,0,0,0,0,0.234043,0.368421,0.017544,0.017544,0.038462,0,0,0,0,0,0,0,0
4201,?,?,?,0,0,21,0,1,0,1,0,0,0,0,0,0,0,1569,1,0,21,0.997941,18.021445,0,1,0,0,18677.37507,0,1,0,1,1,1,0.164867,1,1,0,0,0,0,0,0,0,18592.31107,0,0,0,0,0,0,0,0,0.166667,1,0.833333,0.166667,0.2,0,0,0,0,0,0,0,0
5999,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721,13,0,0,1.000153,0,0,0,0,0,10231.10647,0,1,0,1,1,1,0.093982,1,1,0,0,0,0,0,0,0,10231.10647,0,0,0,0,0,0,0,0,0.128571,0.320513,0.038462,0.025641,0.035714,0,0,0,0,0,0,0,0
1605,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2,16,0,1.037196,-0.173492,0,0,0,0,1458.788662,8,2,0.864583,0.065217,0.226804,0.010309,0.061034,0.037037,16.058824,0,0,0,0,0,0,0,1484.814327,0,0,0,0,0,0,0,0,0.157895,0.238095,0.047619,0.047619,0.071429,0,0,0,0,0,0,0,0
12385,?,?,?,0,0,22,0,1,0,1,0,0,0,0,0,0,0,251,29,0,22,0.984444,58.066628,0,0,0,0,5074.328923,0,1,0,1,1,1,0.040289,1,1,0,0,0,0,0,0,0,4953.167044,0,0,0,0,0,0,0,0,0.017045,0.179775,0.005618,0.005618,0.037037,0,0,0,0,0,0,0,0
4355,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,3,0,22,0.979371,27.605917,0,1,0,0,2983.644779,0,1,0,1,1,1,0.095469,1,1,0,0,0,0,0,0,0,2867.55974,0,0,0,0,0,0,0,0,0.058824,0.235294,0.058824,0.058824,0.083333,0,0,0,0,0,0,0,0
64,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,2,3,2,1.001334,7.536154,0,0,0,0,5242.638856,27,1,1,0.028571,0.114286,0.028571,0.103606,0.055556,3.25,0,0,0,0,0,0,0,5242.640766,0,0,0,0,0,0,0,0,0.181818,0.333333,0.083333,0.083333,0.1,0,0,0,0,0,0,0,1
919,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,687,0,1.387879,-0.864475,0,1,0,0,3737.416413,13,2,0.419295,0.035685,0.219076,0.001336,0.095269,0.020833,687.003831,0,0.002907,0,0,0,0,0.002907,4358.794183,0,0,0,0,0,0,0,0,0.055556,0.189189,0.027027,0.027027,0.066667,0,0,0,0,0,0,0,0
473948,?,?,?,0,0,32,0,1,0,2,0,0,0,0,0,0,0,12,3,0,26,0.905283,84.972042,0,0,0,0,1025.866859,0,1,0,1,1,1,0.066772,1,1,0,0,0,0,0,0,0,901.65212,0,0,0,0,0,0,0,0,0.111111,0.263158,0.052632,0.052632,0.076923,0,0,0,0,0,0,0,0
2,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,10,0.968321,43.576791,0,0,0,0,742.835055,0,1,0,1,1,1,0.108506,1,1,0,0,0,0,0,0,0,693.163294,0,0,0,0,0,0,0,0,0.181818,0.25,0.083333,0.083333,0.111111,0,0,0,0,0,0,0,0
15,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6157,3,0,59,0.99173,156.061432,0,0,0,0,13013.14958,0,1,0,1,1,1,0.0952,1,1,0,0,0,0,0,0,0,12646.02166,0.016667,0.016667,0,0,0.016667,0,0.05,0,0.142857,0.333333,0.066667,0.066667,0.090909,0,0,0,0,0,0,0,0
248,?,?,?,0,0,10,0,1,0,1,0,0,0,0,0,0,0,282,1,0,10,0.989457,45.020337,0,0,0,0,2237.404771,0,1,0,1,1,1,0.090306,1,1,0,0,0,0,0,0,0,2180.459877,0,0,0,0,0.090909,0,0.090909,0,0.181818,0.25,0.083333,0.083333,0.083333,0,0,0,0,0,0,0,0
360,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,21,679,215,1.143563,242.064311,0,0,0,0,6097.438951,17,2,0.433943,0.031051,0.222966,0.011843,0.050648,0.016129,679.002882,0,0,0,0,0.002941,0,0.002941,6417.949926,0,0.00463,0,0,0,0,0.00463,0,0.02381,0.1875,0.007813,0.007813,0.04,0,0,0,0,0,0,0,0
1355,?,?,?,0,0,2,0,1,0,1,0,0,0,0,0,0,0,473,2,0,2,0.999527,7.924803,0,0,0,0,8414.083251,0,1,0,1,1,1,0.072558,1,1,0,0,0,0,0,0,0,8407.113588,0,0,0,0,0,0,0,0,0.3,0.416667,0.083333,0.083333,0.1,0,0,0,0,0,0,0,0
734,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3852,1,24,0,1.001218,-0.003087,0,1,0,0,36796.07812,17,4,0.675393,0.072222,0.213542,0.005208,0.171325,0.034483,24.071429,0,0,0,0,0,0,0,36833.83565,0,0,0,0,0,0,0,0,0.25,0.333333,0.111111,0.111111,0.125,0,0,0,0,0,0,0,0
4839,?,?,?,0,0,1,0,1,0,1,0,0,0,0,0,0,0,79,1,0,1,0.996128,5.726858,0,0,0,0,1051.892164,0,1,0,1,1,1,0.076288,1,1,0,0,0,0,0,0,0,1051.892164,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0,0
321,?,?,?,0,0,48,0,1,0,1,0,0,0,0,0,0,0,357,4,0,48,0.906112,130.240487,0,0,0,0,1778.029942,0,1,0,1,1,1,0.07364,1,1,0,0,0,0,0,0,0,1578.499835,0,0.020408,0,0,0,0,0.020408,0,0.08,0.230769,0.038462,0.038462,0.066667,0,0,0,0,0,0,0,0
25225,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,3,0,1.010137,-0.085459,0,0,0,0,658.487012,6,1,0.941176,0.1875,0.333333,0.055556,0.087367,0.076923,3.25,0,0,0,0,0,0,0,659.585624,0,0,0,0,0,0,0,0,0.25,0.333333,0.111111,0.111111,0.111111,0,0,0,0,0,0,0,1
5350,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,4,3,7,0.984227,23.102494,0,0,0,0,1079.982145,9,1,1,0.095238,0.227273,0.045455,0.054945,0.076923,3.25,0,0,0,0,0,0,0,1061.961401,0,0,0,0,0,0,0,0,0.058824,0.171429,0.028571,0.028571,0.0625,0,0,0,0,0,0,0,0
